location,dbn,buildingName,buildingCode,address,waterTesting,elevatedResults,healthDptProtocolImplemented,dateLastTested,elevatedSamples,totalSamples,note
P.S. 124 Yung Wing,M124,P.S. 124 (ECF) - MANHATTAN,M124,40 DIVISION STREET MANHATTAN 10002,Yes,No,No,,,,
Columbia Secondary School,M362,P.S. 125 - MANHATTAN,M125,425 WEST 123 STREET MANHATTAN 10027,Yes,"Yes, in 2002",Yes,2005,0,12,
P.S. 125 Ralph Bunche,M125,P.S. 125 - MANHATTAN,M125,425 WEST 123 STREET MANHATTAN 10027,Yes,"Yes, in 2002",Yes,2005,0,12,
KIPP STAR College Prep Charter School,M726,P.S. 125 - MANHATTAN,M125,433 WEST 123 STREET MANHATTAN 10027,Yes,"Yes, in 2002",Yes,2005,0,12,
P.S. 126 Jacob August Riis,M126,P.S. 126 - MANHATTAN,M126,80 CATHERINE STREET MANHATTAN 10038,Yes,No,Yes,,,,
P.S. 128 Audubon,M128,P.S. 128 - MANHATTAN,M128,560 WEST 169 STREET MANHATTAN 10032,Yes,"Yes, in 2002",Yes,2005,0,59,
Castle Bridge School,M513,P.S. 128 - MANHATTAN,M128,560 WEST 169 STREET MANHATTAN 10032,Yes,"Yes, in 2002",Yes,2005,0,59,
P.S. 129 John H. Finley,M129,P.S. 129 - MANHATTAN,M129,425 WEST 130 STREET MANHATTAN 10027,Yes,"Yes, in 2002",Yes,2005,0,41,
P.S. 130 Hernando De Soto,M130,P.S. 130 - MANHATTAN,M130,143 BAXTER STREET MANHATTAN 10013,Yes,No,No,,,,
M.S. 131,M131,I.S. 131 - MANHATTAN,M131,100 HESTER STREET MANHATTAN 10002,Yes,No,No,,,,
Pace High School,M298,I.S. 131 - MANHATTAN,M131,100 HESTER STREET MANHATTAN 10002,Yes,No,No,,,,
Emma Lazarus High School ,M394,I.S. 131 - MANHATTAN,M131,100 HESTER STREET MANHATTAN 10002,Yes,No,No,,,,
Dos Puentes Elementary School,M103,P.S. 132 - MANHATTAN,M132,185 WADSWORTH AVENUE MANHATTAN 10033,Yes,No,No,,,,
P.S. 132 Juan Pablo Duarte,M132,P.S. 132 - MANHATTAN,M132,185 WADSWORTH AVENUE MANHATTAN 10033,Yes,No,No,,,,
P.S. 133 Fred R Moore,M133,P.S. 133 - MANHATTAN,M133,2121 5 AVENUE MANHATTAN 10037,Yes,No,Yes,,,,
P.S. 137 John L. Bernstein,M137,P.S. 134 - MANHATTAN,M134,293 EAST BROADWAY MANHATTAN 10002,Yes,No,Yes,,,,
P.S. 134 Henrietta Szold,M134,P.S. 134 - MANHATTAN,M134,293 EAST BROADWAY MANHATTAN 10002,Yes,No,Yes,,,,
Bread & Roses Integrated Arts High School,M685,I.S. 136 - MANHATTAN,M136,6 EDGECOMBE AVENUE MANHATTAN 10030,Yes,"Yes, in 2002",Yes,2005,0,16,
