location,dbn,buildingName,buildingCode,address,waterTesting,elevatedResults,healthDptProtocolImplemented,dateLastTested,elevatedSamples,totalSamples,note
Frances Perkins Academy,K632,AUTOMOTIVE TRADES VOC HS - K,K610,50 BEDFORD AVENUE BROOKLYN 11222,Yes,"Yes, in 2002",Yes,2005,0,27,
Transit Tech Career and Technical Education High School,K615,E NY VOC HS OF TRANSIT TECH.-K,K615,1 WELLS STREET BROOKLYN 11208,Yes,Yes,Yes,2005,1,28,
P.S. 370,K370,WILLIAM E. GRADY VOC HS - K,K620,25 BRIGHTON  4TH ROAD BROOKLYN 11235,Yes,No,Yes,,,,
William E. Grady Career and Technical Education High School,K620,WILLIAM E. GRADY VOC HS - K,K620,25 BRIGHTON  4TH ROAD BROOKLYN 11235,Yes,No,Yes,,,,
Pathways in Technology Early College High School (P-Tech),K122,ROBESON HS COMP&BUS TC (A HML)-K,K625,150 ALBANY AVENUE BROOKLYN 11213,Yes,"Yes, in 2003",Yes,2005,0,28,
Academy for Health Careers,K751,ROBESON HS COMP&BUS TC (A HML)-K,K625,150 ALBANY AVENUE BROOKLYN 11213,Yes,"Yes, in 2003",Yes,2005,0,28,
Brooklyn Preparatory High School,K488,HARRY VANARSDALE VOC H (WHITNEY)-K,K650,257 NORTH  6 STREET BROOKLYN 11211,Yes,Yes,Yes,2005,1,20,
Williamsburg High School for Architecture and Design,K558,HARRY VANARSDALE VOC H (WHITNEY)-K,K650,257 NORTH  6 STREET BROOKLYN 11211,Yes,Yes,Yes,2005,1,20,
Williamsburg Preparatory School,K561,HARRY VANARSDALE VOC H (WHITNEY)-K,K650,257 NORTH  6 STREET BROOKLYN 11211,Yes,Yes,Yes,2005,1,20,
Brooklyn High School of the Arts,K656,BKLYN HS OF THE ARTS (OL S J HL)-K,K655,345 DEAN STREET BROOKLYN 11217,Yes,"Yes, in 2002",Yes,2005,0,29,
