location,dbn,buildingName,buildingCode,address,waterTesting,elevatedResults,healthDptProtocolImplemented,dateLastTested,elevatedSamples,totalSamples,note
Good Shepherd School,KAFO,GOOD SHEPHERD SCHOOL,KAFO,1943 BROWN STREET BROOKLYN 11229,,,,,,,Information to come
Universal Pre-K C.B.O.,K72B,GOOD SHEPHERD SCHOOL,KAFO,1943 BROWN STREET BROOKLYN 11229,,,,,,,Information to come
Hebrew Institute The Deaf & Excp.,KAFZ,HEBREW INSTITUTE THE DEAF & EXCP.,KAFZ,1401 AVENUE I BROOKLYN 11230,Yes,No,N/A,,,,
Universal Pre-K C.B.O.,K72A,HEBREW INSTITUTE THE DEAF & EXCP.,KAFZ,1401 AVENUE I BROOKLYN 11230,Yes,No,N/A,,,,
Flatbush Catholic Academy,KAGC,HOLY CROSS SCHOOL,KAGC,2520 CHURCH AVENUE BROOKLYN 11226,,,,,,,Information to come
SAINT GREGORY THE GREAT CATHOLIC ACADEMY,KALL,HOLY CROSS SCHOOL,KAGC,2520 CHURCH AVENUE BROOKLYN 11226,,,,,,,Information to come
Canarsie Ascend Charter School ,K759,CANARSIE ASCEND CHARTER SCHOOL,KAGD,9719 FLATLANDS AVENUE BROOKLYN 11236,,,,,,,Charter managed facility. More information to come.
Brooklyn Prospect Charter School,K707,BISHOP FORD CENTRAL CATHOLIC HIGH SCHOOL,KAGI,3002 FORT HAMILTON PARKWAY BROOKLYN 11218,,,,,,,Charter managed facility. More information to come.
Low Memorial School,KAGS,LOW MEMORIAL SCHOOL,KAGS,50 MONROE PLACE BROOKLYN 11201,Yes,No,N/A,,,,
Universal Pre-K C.B.O.,K713,LOW MEMORIAL SCHOOL,KAGS,50 MONROE PLACE BROOKLYN 11201,Yes,No,N/A,,,,
Imagine Dumbo - Monroe,KCEH,LOW MEMORIAL SCHOOL,KAGS,50 MONROE PLACE BROOKLYN 11201,Yes,No,N/A,,,,
MASORES BAIS YAAKOV ELEMENTARY SCHOOL,KAHA,MASORES BAIS YAAKOV,KAHA,1395 OCEAN AVENUE BROOKLYN 11230,,,,,,,Information to come
Universal Pre-K C.B.O.,K72B,MASORES BAIS YAAKOV,KAHA,1395 OCEAN AVENUE BROOKLYN 11230,,,,,,,Information to come
Bet Yaakov Ohr Sarah,KBAW,MEOROT BEIT YAAKOV,KAHB,1123 AVENUE N BROOKLYN 11230,,,,,,,Information to come
Bet Yaakov Ohr Sarah,KAHB,MEOROT BEIT YAAKOV,KAHB,1123 AVENUE N BROOKLYN 11230,,,,,,,Information to come
