location,dbn,buildingName,buildingCode,address,waterTesting,elevatedResults,healthDptProtocolImplemented,dateLastTested,elevatedSamples,totalSamples,note
NATIONAL ASSOCIATION OF FAMILY DEVELOPMENT CENTERS SITE 1,KATZ,NATIONAL ASSOCIATION OF FAMILY DEVELOPMENT CENTERS,KATZ,293 NEPTUNE AVENUE BROOKLYN 11235,Yes,No,N/A,,,,
Adult and Continuing Education,K755,NATIONAL ASSOCIATION OF FAMILY DEVELOPMENT CENTERS,KATZ,293 NEPTUNE AVENUE BROOKLYN 11235,Yes,No,N/A,,,,
Universal Pre-K C.B.O.,K72A,NATIONAL ASSOCIATION OF FAMILY DEVELOPMENT CENTERS,KATZ,293 NEPTUNE AVENUE BROOKLYN 11235,Yes,No,N/A,,,,
William O'Connor Midwood Preschool,KAUK,NYL/WOC MIDWOOD,KAUK,1520 EAST  13 STREET BROOKLYN 11230,Yes,No,N/A,,,,
Universal Pre-K C.B.O.,K72A,NYL/WOC MIDWOOD,KAUK,1520 EAST  13 STREET BROOKLYN 11230,Yes,No,N/A,,,,
Y W C Day Care/La Puerta Abierta,KAUO,Y W C DAY CARE/LA PUERTA ABIERTA,KAUO,2864 WEST  21 STREET BROOKLYN 11224,Yes,No,N/A,,,,
YWCA-NYC Roberta Bright Early Learning Center,KBYC,Y W C DAY CARE/LA PUERTA ABIERTA,KAUO,2864 WEST  21 STREET BROOKLYN 11224,Yes,No,N/A,,,,
Marcy Children's Center,KBJI,MARCY CHILDREN'S CENTER,KAVC,494 MARCY AVENUE BROOKLYN 11206,Yes,No,N/A,,,,
Marcy Children's Center,KAVC,MARCY CHILDREN'S CENTER,KAVC,494 MARCY AVENUE BROOKLYN 11206,Yes,No,N/A,,,,
Universal Pre-K C.B.O.,K714,MARCY CHILDREN'S CENTER,KAVC,494 MARCY AVENUE BROOKLYN 11206,Yes,No,N/A,,,,
Childrens Ctr Early Learning,KAVF,CHILDRENS CTR EARLY LEARNING,KAVF,83 MARLBOROUGH ROAD BROOKLYN 11226,Yes,No,N/A,,,,
